Note: All timestamps are UT, and refer to the start of the time period.
year           : Integer Year of observation. Timestamp marks beginning of interval (years), Fill= -9999.9
day            : Integer Day of Year of observation (starting from 1). Timestamp marks beginning of interval (days), Fill= -9999.9
hr             : Hour of day of observation (starting from 0). Timestamp marks beginning of interval (hours), Fill= -9999.9
min            : Minute of hour of observation (starting from 0). Timestamp marks beginning of interval (minutes), Fill= -9999.9
sec            : Second of minute of observation. Timestamp marks beginning of interval (seconds), Fill= -9999.9
fp_year        : Fractional Year of observation. Timestamp marks beginning of interval (years), Fill= -9999.9
fp_doy         : Fractional Day of Year of observation. Timestamp marks beginning of interval (days), Fill= -9999.9
ACEepoch       : Epoch of observation - seconds since 00:00:00UT on Jan 1 1996. Timestamp marks beginning of interval (seconds), Fill= -9999.9
proton_density : Solar Wind Proton Number Density, scalar  (cm^-3 ), Fill= -9999.9 
proton_temp    : radial component of the proton temperature  (Kelvin ), Fill= -9999.9 
He4toprotons   : alpha to proton density ratio  (Ratio), Fill= -9999.9 
proton_speed   : Solar Wind Bulk Speed  (km/s ), Fill= -9999.9 
x_dot_GSE      : X-component of Solar Wind Velocity in GSE cartesian coordinates, 64-second average (km/s ), Fill= -9999.9 
y_dot_GSE      : Y-component of Solar Wind Velocity in GSE cartesian coordinates, 64-second average (km/s ), Fill= -9999.9 
z_dot_GSE      : Z-component of Solar Wind Velocity in GSE cartesian coordinates, 64-second average (km/s ), Fill= -9999.9 
2004   1 20  0  0.000      5.607  1.9152e+05    0.0279    553.97   -551.40     10.44     43.16 
2004   1 21  0  0.000      5.335  1.6822e+05    0.0303    561.53   -560.49     -6.38     25.85 
2004   1 22  0  0.000      5.206  1.6044e+05    0.0335    542.27   -541.76     -1.15     14.11 
2004   1 23  0  0.000      6.197  1.3089e+05    0.0401    566.56   -565.03    -12.92     33.83 
2004   2  0  0  0.000      6.024  1.5467e+05    0.0477    564.67   -563.27     -2.09     38.63 
2004   2  1  0  0.000      5.933  1.3762e+05    0.0448    553.98   -552.72     -2.59     36.43 
2004   2  2  0  0.000      5.159  1.4794e+05    0.0518    538.81   -538.04     18.06     15.25 
2004   2  3  0  0.000      5.526  1.3674e+05    0.0482    538.15   -537.44     -3.44     27.32 
2004   2  4  0  0.000      5.008  1.2392e+05    0.0448    529.32   -528.91      6.07     16.40 
2004   2  5  0  0.000      4.790  1.1540e+05    0.0428    520.65   -520.24      9.75     14.96 
2004   2  6  0  0.000      4.625  1.3167e+05    0.0515    507.93   -507.72      5.88     11.05 
2004   2  7  0  0.000      5.414  1.1948e+05    0.0470    501.08   -500.60      5.34     19.12 
2004   2  8  0  0.000      5.203  1.1848e+05    0.0523    494.31   -493.59     16.52     17.67 
2004   2  9  0  0.000      5.472  1.2627e+05    0.0509    492.88   -492.56      2.43     11.98 
2004   2 10  0  0.000      5.769  1.2289e+05    0.0486    491.78   -491.57      0.27      3.97 
2004   2 11  0  0.000      6.592  1.0974e+05    0.0432    500.04   -499.69    -12.87      6.05 
2004   2 12  0  0.000      6.491  9.3141e+04    0.0440    503.65   -502.90    -17.86     17.79 
2004   2 13  0  0.000      6.930  1.0160e+05    0.0486    493.30   -492.89    -10.91      8.01 
2004   2 14  0  0.000      7.234  1.0565e+05    0.0418    484.28   -483.78    -21.21      0.51 
2004   2 15  0  0.000      9.019  1.0592e+05    0.0432    463.36   -461.13    -44.36     -9.70 
2004   2 16  0  0.000     10.739  7.4969e+04    0.0448    462.79   -459.33    -56.99     -4.14 
2004   2 17  0  0.000     13.045  6.9954e+04    0.0501    455.70   -451.66    -57.34    -17.71 
2004   2 18  0  0.000     12.552  6.0480e+04    0.0576    442.16   -437.45    -61.33    -16.73 
2004   2 19  0  0.000      9.659  6.3195e+04    0.0337    441.42   -436.25    -66.18     -7.45 
2004   2 20  0  0.000     10.583  1.0967e+05    0.0204    446.02   -443.12    -49.15    -14.82 
2004   2 21  0  0.000     11.417  9.2351e+04    0.0302    452.88   -449.14    -49.16    -31.14 
2004   2 22  0  0.000     11.957  8.8578e+04    0.0344    453.47   -449.28    -50.48    -34.06 
2004   2 23  0  0.000     12.223  9.8845e+04    0.0328    454.27   -450.39    -47.52    -34.14 
2004   3  0  0  0.000     11.149  1.1044e+05    0.0490    476.70   -473.85    -43.38    -22.01 
2004   3  1  0  0.000     12.135  1.4913e+05    0.0459    482.62   -480.94    -29.55    -19.47 
2004   3  2  0  0.000     12.626  1.3749e+05    0.0497    491.47   -488.38    -51.92     -9.11 
2004   3  3  0  0.000      9.571  2.6559e+05    0.0368    551.37   -550.45     -0.84     10.60 
2004   3  4  0  0.000      8.461  2.5020e+05    0.0358    605.65   -603.76     36.36     14.85 
2004   3  5  0  0.000      8.891  2.2845e+05    0.0302    602.02   -600.84     28.52      8.24 
2004   3  6  0  0.000      8.891  2.1529e+05    0.0299    593.46   -590.78     35.88     -0.26 
2004   3  7  0  0.000      8.194  2.1841e+05    0.0307    592.06   -589.71     36.12     -8.80 
2004   3  8  0  0.000      7.208  2.0632e+05    0.0294    614.75   -613.53     12.40     26.67 
2004   3  9  0  0.000      5.931  1.8084e+05    0.0297    614.97   -614.22      2.70      0.76 
2004   3 10  0  0.000      5.173  1.5968e+05    0.0311    624.98   -624.41     -0.03     -1.99 
2004   3 11  0  0.000      5.436  1.5950e+05    0.0287    615.75   -615.23      6.57     -4.00 
2004   3 12  0  0.000      4.698  1.5314e+05    0.0303    623.94   -623.33      1.06    -26.98 
2004   3 13  0  0.000      5.382  1.7061e+05    0.0313    598.70   -597.66     13.65     -6.91 
2004   3 14  0  0.000      5.650  1.6622e+05    0.0304    587.66   -586.19     11.39     -7.93 
2004   3 15  0  0.000      5.683  1.5803e+05    0.0272    559.11   -557.94     31.50     -7.43 
2004   3 16  0  0.000      5.594  1.7720e+05    0.0285    552.07   -551.67     14.12     -7.47 
2004   3 17  0  0.000      5.283  1.8284e+05    0.0290    556.39   -555.79     -0.04     10.09 
2004   3 18  0  0.000      5.131  1.7754e+05    0.0290    561.29   -560.55    -22.01      6.77 
2004   3 19  0  0.000      6.044  1.7016e+05    0.0264    568.83   -566.94    -15.53     29.05 
2004   3 20  0  0.000      5.162  1.5604e+05    0.0283    559.13   -557.27    -32.69     11.13 
2004   3 21  0  0.000      4.905  1.4764e+05    0.0300    545.80   -543.85    -40.07     -2.12 
2004   3 22  0  0.000      4.876  1.5264e+05    0.0285    530.00   -528.99    -22.03      3.00 
2004   3 23  0  0.000      4.957  1.4327e+05    0.0289    528.04   -525.96    -32.11     20.85 
2004   4  0  0  0.000      5.538  1.7238e+05    0.0323    530.00   -527.39    -41.82     17.06 
2004   4  1  0  0.000      5.037  1.6268e+05    0.0347    533.02   -531.24    -33.32      4.87 
2004   4  2  0  0.000      4.963  1.8071e+05    0.0363    544.35   -543.49    -16.30      6.08 
2004   4  3  0  0.000      5.753  1.8772e+05    0.0348    561.38   -560.36    -16.12     20.78 
2004   4  4  0  0.000      5.982  1.8250e+05    0.0334    576.40   -575.01    -24.53     28.56 
2004   4  5  0  0.000      5.496  1.8292e+05    0.0343    570.11   -569.14     -6.12     11.85 
2004   4  6  0  0.000      5.708  1.7722e+05    0.0319    579.96   -578.21      2.13     25.08 
2004   4  7  0  0.000      5.738  1.8367e+05    0.0316    579.31   -578.00     -5.76     31.27 
2004   4  8  0  0.000      5.797  1.8448e+05    0.0305    572.88   -571.32      2.96     33.25 
2004   4  9  0  0.000      5.220  1.9598e+05    0.0335    557.36   -556.41     10.42      7.10 
2004   4 10  0  0.000      5.749  1.9656e+05    0.0312    560.94   -559.01     22.42     28.48 
2004   4 11  0  0.000      5.996  1.8535e+05    0.0290    556.67   -554.10     28.09     28.13 
2004   4 12  0  0.000      6.354  1.7867e+05    0.0276    554.27   -551.05     45.10     25.47 
2004   4 13  0  0.000      6.055  1.7995e+05    0.0302    554.93   -553.15     27.99     22.81 
2004   4 14  0  0.000      5.883  2.0819e+05    0.0373    594.72   -592.48     13.21     38.19 
2004   4 15  0  0.000      5.773  2.1892e+05    0.0372    602.56   -601.37      2.27      9.50 
2004   4 16  0  0.000      5.352  2.1395e+05    0.0402    595.91   -594.26     10.43     18.55 
2004   4 17  0  0.000      5.287  2.0679e+05    0.0403    585.63   -583.66     11.69     26.70 
2004   4 18  0  0.000      4.576  1.7343e+05    0.0360    569.25   -568.74     -1.75      4.07 
2004   4 19  0  0.000      4.238  1.6790e+05    0.0325    573.18   -571.71     -8.82     26.39 
2004   4 20  0  0.000      3.712  1.5419e+05    0.0302    569.98   -568.61     16.99     25.95 
2004   4 21  0  0.000      3.606  1.3708e+05    0.0278    614.33   -613.16     13.36      8.67 
2004   4 22  0  0.000      3.819  1.4165e+05    0.0273    603.25   -601.25     31.28     23.13 
2004   4 23  0  0.000      4.276  1.5302e+05    0.0262    586.16   -584.91     17.36     17.65 
2004   5  0  0  0.000      4.247  1.5171e+05    0.0275    569.21   -568.12     -6.04     30.74 
2004   5  1  0  0.000      4.675  1.5289e+05    0.0292    589.39   -587.71      5.09     35.98 
2004   5  2  0  0.000      4.613  1.6563e+05    0.0303    581.97   -580.59     13.69     33.22 
2004   5  3  0  0.000      4.576  1.5205e+05    0.0285    593.63   -592.78     -1.74     17.35 
2004   5  4  0  0.000      4.470  1.4492e+05    0.0300    605.80   -604.73     -8.21     24.88 
2004   5  5  0  0.000      4.751  1.4720e+05    0.0277    595.56   -593.14     41.16     -0.07 
2004   5  6  0  0.000      4.720  1.4506e+05    0.0276    592.96   -590.77     27.13      9.84 
2004   5  7  0  0.000      4.874  1.4456e+05    0.0252    592.96   -591.09     29.32     13.93 
2004   5  8  0  0.000      4.799  1.4470e+05    0.0253    590.44   -587.62     51.51     -0.85 
2004   5  9  0  0.000      4.934  1.4426e+05    0.0244    596.90   -594.23     35.94     -9.39 
2004   5 10  0  0.000      5.026  1.4879e+05    0.0248    598.73   -597.49    -11.38      9.32 
2004   5 11  0  0.000      4.626  1.6528e+05    0.0305    592.62   -591.06      9.86    -14.14 
2004   5 12  0  0.000      5.094  1.7068e+05    0.0248    603.14   -600.91     20.52     34.14 
2004   5 13  0  0.000      4.358  1.9319e+05    0.0293    597.00   -595.61      9.06      3.27 
2004   5 14  0  0.000      4.358  1.7816e+05    0.0266    596.58   -594.97     -1.87     17.57 
2004   5 15  0  0.000      4.000  1.7193e+05    0.0231    625.84   -622.97      7.19     47.11 
2004   5 16  0  0.000      4.246  2.0572e+05    0.0236    615.21   -613.44      9.60     12.02 
2004   5 17  0  0.000      3.878  1.8485e+05    0.0213    616.29   -613.68     42.55      7.93 
2004   5 18  0  0.000      3.567  1.9679e+05    0.0206    631.04   -629.88    -25.28     12.62 
2004   5 19  0  0.000      3.513  1.9669e+05    0.0213    620.99   -619.99      1.07    -12.32 
2004   5 20  0  0.000      3.607  1.9623e+05    0.0186    633.02   -631.29     -5.52     26.15 
2004   5 21  0  0.000      3.254  1.9486e+05    0.0200    629.15   -627.80    -12.14     18.63 
2004   5 22  0  0.000      3.639  2.0109e+05    0.0179    632.11   -629.18     30.08     37.37 
2004   5 23  0  0.000      3.645  1.9924e+05    0.0176    619.66   -618.13     18.60      6.11 
2004   6  0  0  0.000      3.421  1.8082e+05    0.0158    617.31   -615.96     17.86     12.90 
2004   6  1  0  0.000      3.506  1.7222e+05    0.0163    631.71   -629.45     13.29     33.95 
2004   6  2  0  0.000      2.828  1.6011e+05    0.0185    628.70   -627.25    -25.64    -22.53 
2004   6  3  0  0.000      2.876  1.3885e+05    0.0161    618.84   -617.28    -29.47    -19.30 
2004   6  4  0  0.000      3.105  1.5014e+05    0.0179    633.55   -630.98     -3.09     29.44 
2004   6  5  0  0.000      3.178  1.4212e+05    0.0168    613.39   -610.99    -23.03     24.09 
2004   6  6  0  0.000      3.088  1.6119e+05    0.0194    605.47   -603.75     -6.03      2.42 
2004   6  7  0  0.000      2.867  1.6715e+05    0.0187    609.22   -607.11     -7.82      9.18 
2004   6  8  0  0.000      2.659  1.4367e+05    0.0189    583.98   -582.95     15.53     15.48 
2004   6  9  0  0.000      2.793  1.4775e+05    0.0182    593.68   -591.88     11.98    -28.19 
2004   6 10  0  0.000      2.536  1.1312e+05    0.0174    584.23   -583.47      6.60     -2.47 
2004   6 11  0  0.000      2.519  1.2639e+05    0.0162    588.12   -586.64     11.00     -5.98 
2004   6 12  0  0.000      2.583  1.3618e+05    0.0162    586.07   -584.48     35.61     -0.32 
2004   6 13  0  0.000      2.479  1.1691e+05    0.0179    572.04   -570.76     26.98     12.51 
2004   6 14  0  0.000      2.494  1.2549e+05    0.0165    577.42   -575.59     36.93      9.45 
